Mileage,EngineV,log_price,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Registration_yes
65,1.3,9.047821442478408,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1,2.3,7.9724660159745655,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
72,3.0,9.975808214115753,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
87,3.8,9.792555991828847,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
160,4.8,10.257659366256743,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
160,1.9,9.190137664658664,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
147,2.4,9.581903928408666,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
300,2.8,8.699514748210191,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,2.5,11.119882876860622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1.8,10.431170293368542,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
230,2.15,9.190137664658664,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
86,5.5,11.05089000537367,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
326,2.8,8.948975607841776,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
30,2.2,9.169518377455928,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
181,2.4,9.457200449907708,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
80,3.0,10.621327345686446,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
231,2.5,8.216088098632316,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
134,5.0,10.292145542327912,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
335,2.8,8.779557455883728,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
66,1.5,9.017968479328726,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
172,3.5,9.878169744551839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
317,5.0,9.51044496442652,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
266,2.2,9.126958763037132,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
265,2.0,8.517193191416238,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
162,4.8,10.081633737919603,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
81,3.0,10.515966830028619,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
253,1.8,9.093806555720231,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
200,1.9,8.961879012677683,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
270,1.8,7.408530566894626,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
240,3.5,10.819778284410283,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
245,2.0,9.179881164491475,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
127,2.2,9.21024036697585,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
21,3.0,11.156236235215168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,1.6,8.779557455883728,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
267,1.9,8.366370301681654,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
267,2.5,8.006367567650246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
240,2.2,9.071078304642676,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
178,2.0,9.104979856318357,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
190,1.8,9.923290179832307,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
175,3.0,9.104979856318357,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
105,1.8,9.503009985939002,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
195,1.9,8.216088098632316,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
126,2.0,9.195226734166134,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
420,2.0,8.216088098632316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195,4.0,9.6614159913364,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
180,2.2,10.106428396532818,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
195,1.6,8.922658299524402,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
